Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
Co,5,366.1439,364.5502,360.0987,358.169,357.8167,359.3495,360.768,360.7886,363.8978,373.5755,383.5704
Co,1,298.3567,299.3853,300.4583,301.5473,304.096,306.3147,308.5687,310.9496,314.3875,318.7296,323.6361
Co,5,376.0821,373.773,370.4734,369.4633,369.1576,371.0489,372.5211,374.5325,383.172,392.6875,401.6366
Co,3,355.6764,353.533,352.9836,353.2411,354.2846,356.4867,359.1438,363.3045,367.3698,375.4567,385.7074
Co,2,354.2595,352.9899,353.4025,353.2449,353.8682,356.313,359.9964,362.5089,367.4413,375.0244,386.4757
Co,4,355.5585,356.3328,355.993,354.347,354.466,357.8735,361.5057,365.28,368.3931,374.7742,383.0243
Co,5,304.8371,299.4893,297.5915,295.7353,292.7729,293.8311,295.4683,296.9178,300.7853,306.3161,314.1685
Co,4,366.1857,366.2236,362.7123,359.44,359.9586,363.1085,366.2217,368.5006,372.4314,378.3166,388.528
Co,5,366.8114,364.7845,363.2187,362.0656,360.8797,364.6801,366.8193,368.5827,372.1772,377.1677,385.5575
Co,5,365.4539,360.1273,360.575,358.4958,358.0561,362.8816,367.3403,372.1885,377.6095,387.7316,402.2464
Co,5,359.4019,358.5692,356.3486,354.0299,353.1035,356.8642,361.5892,368.0467,373.3057,380.4933,387.7362
Co,5,366.5936,366.2387,364.8891,366.7986,364.7886,369.8787,373.2884,377.0262,382.5581,388.7859,400.6427
Co,3,274.3204,273.9159,273.0753,275.4965,275.2289,277.4422,277.8911,279.2726,282.8432,291.1836,298.7312
Co,4,326.9231,323.635,324.0133,321.2826,322.86,327.5025,331.812,334.6779,339.7141,346.3291,355.0988
Co,4,373.2662,372.4064,370.6351,369.578,370.9351,373.4231,376.1855,377.9407,384.5297,393.9222,404.735
Co,4,316.0752,312.5915,311.907,309.9429,311.1904,311.7073,312.5269,313.0968,316.0099,319.4021,323.9382
Co,2,327.4991,323.2403,327.1298,324.2108,325.0358,328.5762,333.0581,336.2279,342.925,350.2652,361.2128
Co,5,373.7917,371.4097,369.0142,367.4213,367.349,370.6495,372.7249,375.6066,380.1845,391.92,404.1991
Co,4,358.5602,352.7314,350.7953,349.4753,350.5654,352.6436,357.2284,361.9699,367.2708,376.7888,386.9478
Co,3,304.4913,302.7394,301.9556,302.9706,304.9747,311.5405,315.7046,317.5649,321.6583,325.8044,334.4873
Co,3,297.2593,299.2276,293.8739,297.6755,297.4226,300.0794,302.9934,304.782,309.8874,312.6404,320.7195
Co,3,283.211,281.683,280.4998,282.2891,282.0551,284.6928,290.4782,293.9799,300.2579,307.8589,315.7268
Co,3,332.4174,329.4424,325.2782,326.5294,325.3314,330.6083,333.0189,334.6792,340.9058,347.1059,356.1752
Co,5,317.1125,315.6714,316.7935,314.892,314.7732,318.7745,322.7161,324.7503,329.0228,333.4436,341.7582
Co,5,348.9552,349.3432,348.9822,348.6156,348.4484,353.3469,355.7922,358.2039,365.216,372.8278,384.8699
Co,3,339.5939,339.3925,338.073,339.5856,338.4061,340.9078,342.4249,344.1088,348.5575,357.3628,370.0758
Co,5,346.223,347.7237,341.6787,341.0239,339.092,343.4574,348.4223,349.8762,355.1588,365.0927,375.1979
Co,5,353.5661,352.6116,346.9313,351.4118,342.1475,348.7103,355.6005,358.9943,363.5527,369.0416,378.7398
Co,5,390.917,388.1254,384.9182,382.5474,378.7347,381.2402,383.7895,386.1989,390.3397,396.0245,405.9415
Co,3,260.449,256.5321,256.0337,259.2702,260.8438,264.0781,265.6058,266.6961,269.8656,274.9979,281.6069
Co,5,327.7403,327.2955,324.2151,323.1089,321.5434,322.6178,323.0993,325.8085,329.5271,335.2574,344.9845
Co,5,369.2886,363.2404,355.8184,354.7005,352.918,355.2244,357.3145,358.4465,364.2697,372.1071,382.7273
Co,5,373.4964,366.204,363.2763,362.1108,360.1761,364.6235,367.7765,370.0421,375.089,382.358,391.3207
Co,3,355.6203,356.7892,354.2326,354.4125,355.4094,359.0921,361.0311,361.1662,366.0237,373.7006,384.7
Co,3,272.8492,271.245,270.7266,272.7821,275.0504,279.3401,283.9808,288.5416,293.4259,298.6812,305.7663
Co,4,330.2198,326.7632,323.8816,321.8558,322.572,326.1723,331.0107,337.6243,343.8782,351.3374,362.0145
Co,5,377.3594,373.9663,365.6001,366.8675,363.1894,366.0807,368.5057,368.8815,373.2042,381.0709,390.8811
Co,5,367.4007,367.6861,361.7443,361.74,359.7773,363.7568,366.4218,367.1499,367.6201,373.4297,380.5802
Co,5,365.0702,361.3029,358.3615,359.4121,357.4926,360.6408,363.8072,366.3368,371.209,375.7516,384.1167
Co,5,331.9302,326.675,326.3583,322.3634,321.2954,324.5299,328.3112,334.7832,336.85,343.1821,348.934
Co,3,287.5169,284.6135,281.5609,285.4705,285.3651,289.5474,294.3159,296.7584,300.3267,305.7918,315.3416
Co,5,341.5169,340.1703,339.107,338.7264,338.5206,342.1596,348.8533,352.4151,356.6726,365.261,377.4989
Co,5,334.3344,330.3086,329.6064,326.6753,325.624,326.4064,329.0699,332.3355,335.7577,338.8975,342.5343
Co,5,348.5012,343.1649,342.8343,341.428,338.7292,343.4001,347.2094,348.9927,353.0471,358.1048,366.8906
Co,2,350.9151,344.2797,346.7651,344.3688,345.9512,354.5958,360.7807,362.5578,363.6952,370.5753,376.3863
Cr,3,256.1265,255.0535,252.6054,259.0736,260.423,257.4779,260.9226,265.0741,267.1144,267.7804,268.4611
Cr,6,234.6911,234.0513,232.6127,232.7906,233.6616,231.8165,234.216,235.5795,236.6726,237.1734,237.1572
Cr,5,245.0552,245.1171,244.2267,243.4595,242.9456,244.2865,244.381,247.8595,251.3923,253.195,254.5289
Cr,3,235.7596,234.9015,234.8464,239.4137,237.444,240.0398,241.3547,244.1123,246.7526,248.3765,250.5355
Cr,1,208.9444,210.3686,210.8275,212.395,213.5946,214.0154,218.0749,220.1435,223.996,225.0551,226.8174
Cr,2,240.7695,237.1233,237.1937,238.7072,238.6556,240.8745,239.3309,243.7695,245.2096,246.2686,248.2541
Cr,1,253.2033,255.8381,255.7378,260.6302,260.4541,255.62,255.8569,257.537,258.872,259.8996,259.9509
Cr,3,257.1723,256.4255,254.9484,256.9666,256.4995,260.9767,260.0978,265.8719,267.904,268.2796,268.5062
Cr,5,263.2566,259.7715,257.7624,260.2352,257.3884,258.5529,258.0156,259.5798,261.9854,262.9502,264.0133
