Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
Co,7,58.4235,56.5371,56.6082,58.1882,58.7965,60.2692,56.3218,56.6414,57.0899,57.6593,57.6326
Co,10,97.0752,95.3306,96.707,96.9594,95.6602,96.0437,97.6008,96.364,96.2385,93.5607,96.7633
Co,7,58.5245,57.79,57.5998,56.6513,54.9156,54.646,53.9236,55.1473,54.6562,55.793,56.1546
Co,3,95.6666,95.547,92.5944,94.4042,93.3737,94.8389,94.8858,94.1543,95.1825,96.2183,96.826
Co,7,98.1125,96.7442,94.4482,94.1877,94.3406,94.1395,93.9822,94.1253,94.7011,94.1208,94.0013
Co,3,93.175,90.5355,87.5285,88.8973,88.4446,88.6196,91.7345,93.6941,93.2986,95.4444,95.7825
Co,3,83.8303,82.7296,82.6319,87.4171,87.2814,92.0116,101.6499,104.5983,98.8683,98.9437,96.0401
Co,8,67.7553,66.0462,65.0613,62.6636,59.1202,60.0119,58.2877,57.0936,57.3552,57.5272,58.2165
Co,7,99.1721,95.232,93.5195,95.1151,93.3153,93.1116,92.2033,93.4442,94.0137,94.1329,96.3809
Co,5,92.1074,92.138,92.6063,92.7947,91.3435,92.6404,92.9057,96.9653,99.5394,101.6983,103.6457
Co,2,97.5957,96.81,97.3556,99.6366,100.0721,101.703,106.1105,109.5663,111.5403,111.1378,112.3891
Co,2,86.6463,84.2165,86.1762,85.363,87.0442,88.3445,92.3545,94.3364,98.1956,100.2615,101.0739
Co,3,99.3515,98.7105,98.4384,100.6603,103.2734,106.6006,109.5245,111.9331,110.8549,111.5637,111.075
Co,6,113.8097,110.0692,106.151,108.2099,104.641,103.0975,103.7834,103.3636,104.9602,107.0845,108.5799
Co,3,60.8991,58.986,57.0459,57.983,58.9096,58.6309,59.9816,60.6341,60.669,60.949,61.2263
Co,5,105.9012,105.0334,103.7705,104.5751,103.7229,103.9961,104.8976,106.5189,110.9875,109.7767,111.5889
Co,1,95.5496,98.0958,98.1894,99.8387,100.4653,102.1568,105.6419,108.9766,109.1619,110.4196,105.3819
Co,2,93.9165,93.3096,93.8292,97.7648,98.9977,102.6123,105.4392,108.5985,106.7287,107.6509,107.2543
Co,6,110.7601,107.827,107.8598,104.7865,102.7749,102.3365,103.9283,105.0618,107.0628,106.5588,109.0105
Co,5,107.2959,105.6011,104.2047,101.986,100.0318,102.6776,104.4961,108.0467,109.2515,111.8887,111.4428
Co,3,62.427,59.7146,59.7012,60.2711,60.0735,60.9783,62.0765,61.7348,61.5356,61.754,62.0546
Co,5,107.2699,106.5707,103.6251,103.124,101.6149,103.7819,106.09,108.6768,110.106,112.3883,112.9949
