Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
Co,8,291.1957,297.5683,292.2837,289.9339,288.2628,287.3185,290.7558,286.7679,292.0749,296.9992,312.9537
Co,6,338.4917,341.1642,338.5602,333.7428,321.5495,313.0203,314.7883,316.3287,323.2437,329.7413,347.9946
Co,9,391.536,399.2297,387.7432,390.1452,394.3363,378.5191,379.5335,379.3677,365.9814,373.4268,381.3216
Co,8,360.0221,367.2843,368.5422,360.587,354.8565,353.4424,354.6284,352.3681,359.6829,359.7225,375.2328
Co,9,328.245,328.2524,321.1883,321.8217,312.699,313.1889,314.5899,314.5942,311.2554,316.6525,339.553
Co,9,378.7304,378.4871,374.8814,372.4716,375.2842,372.8984,371.9829,373.5722,363.1555,364.5873,365.631
Co,9,342.0407,343.5337,347.4846,351.1457,351.3507,336.7133,335.3936,333.8126,333.7267,335.2831,355.9791
Co,7,414.754,416.0949,410.635,410.4345,401.6555,392.3191,389.8737,391.1634,390.7678,395.9445,411.9526
Co,8,337.3457,343.2209,342.7897,337.7379,343.4855,333.5474,337.5772,329.5981,330.7376,334.7673,346.6944
Co,5,401.1359,408.8945,396.7406,399.5213,390.2279,396.7242,396.6879,397.1513,395.9171,398.1355,409.1564
Co,6,387.8477,387.6558,381.9244,375.3176,376.2227,372.5904,380.93,377.449,373.4787,385.0558,391.0017
Co,6,388.4919,387.7282,392.2498,392.03,383.1019,377.5433,383.9385,389.6578,386.0428,392.6299,410.2474
Co,4,360.1303,352.4011,349.1746,345.0348,347.3951,348.976,349.76,345.3334,352.4401,362.4472,370.244
Co,4,361.4752,358.9783,358.2845,356.0649,357.8316,359.3278,358.2004,361.842,361.9034,364.8878,385.0564
Co,9,379.6901,374.4392,359.8449,358.096,354.95,347.2755,350.3113,346.8532,340.1837,345.2053,353.0883
Co,9,385.4136,374.6944,370.5558,368.2756,348.5085,342.0515,337.079,331.4979,329.3621,331.0568,342.4175
Co,4,333.1049,331.1439,321.3447,315.929,318.0782,318.5433,325.8219,328.021,322.3646,334.134,352.5971
Co,9,381.4476,375.1817,376.9172,371.2366,366.1644,364.7529,363.916,365.8822,363.4615,368.9783,379.4909
Co,10,364.0427,355.6839,362.7167,370.2777,346.709,345.3903,341.5677,340.1809,338.4487,337.9018,353.3355
Co,8,368.0374,364.5891,369.7915,364.1207,353.7899,354.3773,354.4112,346.0975,352.0642,353.5367,359.1649
Cr,2,290.7705,284.9138,287.9179,292.9813,294.928,292.2461,292.3151,291.8023,295.5485,298.5389,304.7192
Cr,7,276.5125,273.5055,270.5905,272.4779,275.075,267.4355,262.3179,265.1761,267.0338,267.5244,268.2785
Cr,7,295.3244,298.619,296.3302,292.3834,295.8553,293.3724,287.4252,288.2814,291.2089,296.2252,305.23
Cr,1,251.9356,254.7516,262.5654,265.8598,262.9847,261.5516,265.0409,267.9755,268.6562,268.0502,276.3303
Cr,6,264.5363,263.4955,262.5492,259.495,257.0602,256.5169,256.8622,258.7321,263.1405,269.8625,269.2122
Cr,8,289.3907,287.9323,286.4733,283.7804,283.1095,286.2949,282.9496,282.304,287.1378,290.8865,288.7728
Cr,8,286.5235,290.8913,295.5627,293.8851,284.2172,286.6174,277.8348,276.9555,279.5805,282.0246,285.0695
Cr,1,256.4252,258.7101,258.1322,265.2287,264.2925,261.7855,263.488,259.7214,263.3803,268.4312,267.8894
Cr,2,177.6951,175.3191,177.487,175.6559,175.3877,176.0629,177.9344,181.4047,182.8474,185.4982,182.492
